Name,В КП,Год выполнения,Интервью с Мишей,Описание,Отрасль,Прогресс,Тип,Чей опыт
"Leroy Merlin: исследование опыта покупателей группы ""отделка стен""",No,2020,описан,Описан,"DIY, Розница",Завершен,CX-Проект,Клиентов
МАВТ-Винотека: исследование опыта покупателей,No,2018,,Описан,"FMCG, Розница",Завершен,CX-Проект,Клиентов
ВкусВилл: концепция новой сети магазинов у дома,No,2019,,Описан,"FMCG, Grocery, Розница",Завершен,Концепция,Клиентов
"Туристический Кластер ""Гора Белая"": разработка CJM",No,2019,,Описан,Туризм,Завершен,CX-Проект,Клиентов
Рембот: исследование опыта пользователя,No,2019,,Описан,"DIY, IT",Завершен,,Клиентов
Сбермаркет: исследование мотивации b2c-клиентов,No,2020,обсудили,Описывается,"Grocery, Услуги",Завершен,CX-Проект,Клиентов
Autodesk: исследование опыта покупки САПР,No,2019,,Описан,"IT, Производство",Завершен,CX-Проект,Клиентов
DataDarvin: разработка концепции нового продукта,No,2019,,Описан,"IT, Маркетинг",Завершен,Концепция,Клиентов
Пятёрочка: исследование опыта партнёров,Yes,2021,сходить к Серёже,Описывается,Розница,Завершен,"CX-Проект, EX-Проект",Партнёров
EuroPharma: разработка концепции сети магазинов у дома,No,2020,описан,Описывается,"FMCG, Grocery, Розница",Завершен,Концепция,Клиентов
Пятёрочка: исследование опыта сотрудников логистики,No,2021,обсудили,Описывается,Розница,Завершен,EX-Проект,Сотрудников
Сбермаркет: исследование мотивации b2b-клиентов,No,2021,обсудили,Описывается,"Grocery, Услуги",Завершен,"CX-Проект, Стратегия",Клиентов
Floris: исследование потребления чая,No,2020,смотреть в архивах,Описывается,"FMCG, Производство",Завершен,,Клиентов
СКБ Контур: разработка концепции для Контур.Бухгалтерии,No,2020,обсудили,Описывается,IT,Завершен,Концепция,Клиентов
"ФК ""Спартак"": исследование опыта болельщиков, фанатов и спортивных функционеров",No,2020,,Описывается,Спорт,Завершен,CX-Проект,Клиентов
SDSvet: исследование опыта покупателей световых систем,No,2019,,Описывается,"Освещение, Производство",Завершен,,Клиентов
NetAngels: исследование опыта клиентов хостинга,No,2019,,Описывается,IT,Завершен,CX-Проект,Клиентов
SeniorGroup: улучшение опыта потребителей и покупателей гериатрических услуг,No,2019,,Описывается,Медицина,Завершен,CX-Проект,Клиентов
EuroPharma: разработка концепции дарксторов,No,2021,не надо брать,Описывается,Grocery,Завершен,Концепция,Клиентов
Пятёрочка: исследование опыта пользователей системы управления ресурсами,No,2021,сходить к Серёже,Описывается,Розница,Завершен,EX-Проект,Сотрудников
Магнит: исследование опыта сотрудников розницы,No,2020,обсудили,Описывается,"FMCG, Grocery, Розница",Завершен,EX-Проект,Сотрудников
Мегафон: UX-Исследование Job-портала,No,2021,обсудили,Описывается,"IT, Телеком",Завершен,EX-Проект,Сотрудников
Пятёрочка: исследование опыта продуктовых команд,No,2021,сходить к Серёже,Описывается,Розница,Завершен,EX-Проект,Сотрудников
Пятёрочка: исследование опыта найма у конкурентов,Yes,2021,обсудили,Описывается,"FMCG, Розница",Завершен,EX-Проект,Сотрудников
Пятёрочка: исследование опыта пользователей системы управления задачами,No,2022,сходить к Серёже,Описывается,Розница,Завершен,EX-Проект,Сотрудников
Рольф: исследование опыта покупателей автомобилей сегмента премиум и масс,Yes,2022,обсудили,Описывается,Продажа автомобилей,Завершен,CX-Проект,Клиентов
Пятёрочка: исследование и проектирование систем сбора обратной связи в розничных магазинах,No,2022,сходить к Серёже,Описывается,Розница,Завершен,CX-Проект,Клиентов
Пятёрочка: разработка идеальной тележки,Yes,2022,обсудили,Описывается,"FMCG, Grocery, Розница",Завершен,Концепция,Клиентов
Пятёрочка: исследование опыта директоров магазинов,No,2022,сходить к Серёже,Описывается,Розница,Завершен,EX-Проект,Сотрудников
Разработка концепции Company Builder,No,2021,описан,Описан,"Консалтинг, Стартапы",Завершен,"Концепция, Стратегия",Клиентов
ПИК: Улучшение пути клиента,Yes,2022,обсудили,Описывается,Девелопмент,Завершен,CX-Проект,Клиентов
Пятёрочка: тестирование эффективности размещение корзинок в торговых залах,No,2022,сходить к Серёже,Описывается,Розница,Завершен,CX-Проект,Клиентов
МТС: Исследование опыта агентов по продажам,Yes,2023,обсудили,Описывается,Телеком,Завершен,EX-Проект,Сотрудников
Роза Хутор: Сервисная Стратегия,No,2023,обсудили,Описывается,Туризм,Завершен,"CX-Проект, Стратегия",Клиентов
ВкусВилл: Гиперсегментация и дизайн-система,No,2023,обсудили,Описывается,"FMCG, Grocery, Розница",Завершен,Концепция,Клиентов
Контур: Исследование селлеров маркетплейсов,Yes,2023,обсудили,Описывается,IT,Завершен,CX-Проект,Клиентов
МТС: Исследование опыта продуктовых команд,Yes,2023,обсудили,Описывается,IT,Завершен,EX-Проект,Сотрудников
РМК Арена: Опыт гостя,Yes,2023,обсудили,Описывается,Спорт,Завершен,CX-Проект,Клиентов
Страна Девелопмент: опыт покупки квартир,No,2023,обсудили,Описывается,Девелопмент,Завершен,CX-Проект,Клиентов
Пятёрочка: переход с пластиковых карт на цифровую программу лояльность,No,2023,обсудили,Описывается,Розница,Завершен,CX-Проект,Клиентов
X5: CJM пользователя программы лояльности X5 Club,Yes,2023,обсудили,Описывается,Розница,Завершен,CX-Проект,Клиентов
Додо Пицца: опыт семей с детьми,No,2024,обсудили,Описывается,Horeca,Завершен,CX-Проект,Клиентов
Яндекс: Опыт водителей такси,No,2025,обсудили,Описывается,IT,Завершен,EX-Проект,Сотрудников
Яндекс: исследование бренда работодателя,No,2024,обсудили,,IT,Завершен,,Сотрудников
InAppStory – КСЦ,No,2026,обсудили,,Маркетинг,Завершен,,Клиентов
Магнит: Разработка бренда работодателя (EVP),No,2026,,,FMCG,В процессе,,Сотрудников
T2: Опыт сотрудников и бренд работодателя,No,2026,,,Телеком,В процессе,,Сотрудников
Банк Точка: Исследование корпоративной культуры,No,2026,,,Банки,В процессе,,Клиентов
SOKOLOV: Клиентский опыт,No,2026,,,Ювелирные изделия,В процессе,,Клиентов
Манго Телеком: Культура Создания Ценности,No,2025,обсудили,,IT,Завершен,,Клиентов
Ланит: исследование пользователей КЭДО,No,2024,обсудили,,IT,Завершен,,Клиентов
Ланит: исследование последствий ухода западных вендоров,No,2022,обсудили,,IT,,,Клиентов
Перекрёсток: проблемы персонала магазинов,No,2024,обсудили,,Розница,Завершен,,Сотрудников
Пятёрочка: исследование механик ОС,No,2021,сходить к Серёже,,Розница,,,Клиентов
Сипуни: бренд работодателя,No,2025,обсудили,,Телеком,Завершен,,Сотрудников
CosmoBeauty: диагностика функции создания ценности,No,2025,обсудили,,Красота,Завершен,,Клиентов
Maskoholic: Чекап Ценностного Предложения,No,2025,обсудили,,Красота,Завершен,,Клиентов
Tutu.ru: Чекап Ценностного Предложения,No,2025,обсудили,,Туризм,Завершен,,Клиентов
Шалаш: исследование для фонда,No,2020,спросить у Саши,,Благотворительность,,,Клиентов
UnicornGo: Культура Создания Ценности,No,2025,обсудили,,Логистика,Завершен,,Клиентов
Streets: исследование потребителей фастфуда,No,2022,обсудили,,Фастфуд,,,Клиентов
,No,,,,,Завершен,,
Контур: диагностика треков внутрикарьерного развития экспертов,No,2025,обсудили,,IT,Завершен,,Сотрудников